Total Nacional;Comunidades y Ciudades Autónomas;Edad (año a año);Españoles/Extranjeros;Sexo;Año;Total
Total Nacional;;32 años;Extranjeros;Mujeres;2004;38.506
Total Nacional;;32 años;Extranjeros;Mujeres;2003;34.357
Total Nacional;;32 años;Extranjeros;Mujeres;2002;24.914
Total Nacional;;32 años;Extranjeros;Mujeres;2001;17.457
Total Nacional;;32 años;Extranjeros;Mujeres;2000;11.026
Total Nacional;;33 años;Españoles;Hombres;2006;338.622
Total Nacional;;33 años;Españoles;Hombres;2005;334.162
Total Nacional;;33 años;Españoles;Hombres;2004;328.869
Total Nacional;;33 años;Españoles;Hombres;2003;326.393
Total Nacional;;33 años;Españoles;Hombres;2002;323.859
Total Nacional;;33 años;Españoles;Hombres;2001;327.400
Total Nacional;;33 años;Españoles;Hombres;2000;322.225
Total Nacional;;33 años;Españoles;Mujeres;2006;326.321
Total Nacional;;33 años;Españoles;Mujeres;2005;321.972
Total Nacional;;33 años;Españoles;Mujeres;2004;318.257
Total Nacional;;33 años;Españoles;Mujeres;2003;317.698
Total Nacional;;33 años;Españoles;Mujeres;2002;316.459
Total Nacional;;33 años;Españoles;Mujeres;2001;321.854
Total Nacional;;33 años;Españoles;Mujeres;2000;317.160
Total Nacional;;33 años;Extranjeros;Hombres;2006;67.496
Total Nacional;;33 años;Extranjeros;Hombres;2005;58.522
Total Nacional;;33 años;Extranjeros;Hombres;2004;49.353
Total Nacional;;33 años;Extranjeros;Hombres;2003;42.280
Total Nacional;;33 años;Extranjeros;Hombres;2002;31.564
Total Nacional;;33 años;Extranjeros;Hombres;2001;20.703
Total Nacional;;33 años;Extranjeros;Hombres;2000;13.227
Total Nacional;;33 años;Extranjeros;Mujeres;2006;50.214
Total Nacional;;33 años;Extranjeros;Mujeres;2005;45.075
Total Nacional;;33 años;Extranjeros;Mujeres;2004;37.753
Total Nacional;;33 años;Extranjeros;Mujeres;2003;32.230
Total Nacional;;33 años;Extranjeros;Mujeres;2002;24.662
Total Nacional;;33 años;Extranjeros;Mujeres;2001;16.785
Total Nacional;;33 años;Extranjeros;Mujeres;2000;11.246
Total Nacional;;34 años;Españoles;Hombres;2006;335.078
Total Nacional;;34 años;Españoles;Hombres;2005;329.919
